Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Wang 2018,Low risk,<p>Computerised random number generator was used.</p>,Low risk,<p>Allocation was concealed.</p>,Low risk,<p>Outcome evaluators described as independent and blinded</p>,Unclear risk,"<p>No clusters lost.<br>The authors do not explain the loss of patients to follow-up (397 in the Intervention arm, 423 in the Control arm).</p>",Low risk,<p>Outcomes reported in Table 2 as preplanned in protocol (2014)</p>,Unclear risk,"<p>Consecutive eligible patients were recruited - although this happened after the hospitals had been randomised, it is unlikely that patients would be aware of the allocation.</p>",Unclear risk,<p>Baseline data appear for the whole 40 hospitals and not for the Intervention baseline and Control group baseline. It was not clear whether there were any significant differences at baseline between the two groups.</p>,Low risk,<p>Allocation to Intervention or Control was by cluster (hospital) and it is unlikely that Control group hospitals received the intervention.</p>,Low risk,<p>Table 2: adherence to evidence-based performance measures include an intracluster correlation coefficient calculation for each measure.</p>,Low risk,<p>Low risk across most domains</p>
Ward 1996,Low risk,"<p>Quote ""randomly allocated...stratified by number of patients recruited""</p>",Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>No adjustment for clustering mentioned</p>,Low risk,<p>Low risk across important domains</p>
Wathne 2018,Low risk,<p>Random draw</p>,Unclear risk,<p>No details or study flow diagram to determine whether it is likely all clusters were allocated at the same time</p>,Low risk,<p>Assessment was performed blinded.</p>,Low risk,"<p>8 clusters/wards allocated to interventions; results relate to 8 clusters (no loss to follow-up). Cluster level analysis not performed, as there were fewer patients than anticipated</p>",Unclear risk,<p>No protocol to check report outcomes against. Reported results in line with methods - did change planned analysis due to low number of patients in post-intervention period</p>,Low risk,<p>Patients included consecutively so physicians were not able to be selective about which patients they recruited</p>,Unclear risk,<p>Baseline characteristics between groups not specifically commented on - may not make sense that they would be similar as coming from different areas of pathology</p>,Unclear risk,"<p>Wards allocated, but different wards within the same hospital allocated to different groups - may be possible cross-contamination</p>",High risk,<p>Clusters were not accounted for in the analysis.</p>,High risk,<p>Due to incorrect analysis</p>
Wattal 2015,Unclear risk,<p>No information about the method of random sequence generation</p>,Unclear risk,<p>No details or study flow diagram to determine whether it is likely all clusters were allocated at the same time</p>,Unclear risk,<p>Outcomes assessment and data collection not described and unclear if bias was minimised</p>,Low risk,<p>It appears there was no loss to follow-up.</p>,Unclear risk,<p>No protocol is available to judge whether data were selectively reported.</p>,Low risk,<p>No evidence of recruitment bias</p>,High risk,"<p>The intervention/control groups stratified by unit type have big variance between n counts, i.e. cardiology has treatment A (n = 124), treatment C has n = 157 &amp; control B has n = 132.</p>",Low risk,<p>Tried to account for contamination</p>,Low risk,<p>Analysis at cluster level</p>,High risk,<p>Due to baseline imbalance</p>
Wei 2017,Low risk,<p>Computer program in R used for randomisation</p>,Unclear risk,<p>Pilot trial with 3 interventions and 3 control clusters</p>,Low risk,<p>Objective data source (EHR)</p>,Unclear risk,"<p>No clusters lost, some data excluded, but data for analysis were randomly selected subsets.</p>",Low risk,<p>Prospectively registered protocol; minimal change to outcomes reported</p>,Unclear risk,<p>More doctors at endpoint than baseline for intervention group</p>,Low risk,<p>Baseline characteristics appear mostly similar.</p>,High risk,<p>Some contamination between intervention and control clusters might have occurred because the townships in different groups were sometimes next to each other.</p>,Low risk,<p>Clustering effect considered in analysis</p>,High risk,<p>Due to protection against contamination</p>
Wells 2000,Low risk,<p>A random number table was used to allocate clusters to Intervention and Control.</p>,Low risk,"<p>No details, but based on the study flow diagram, it appears likely that all clusters were allocated at the same time.</p>",High risk,<p>Some outcomes self-reported by patients (not blinded to allocation) so potential for bias</p>,Low risk,"<p>Losses to follow-up were mostly similar (as proportions) in both groups and explained by death, non-response, or dropouts.</p>",Unclear risk,<p>The protocol for this study is not available.  Process of care and health outcomes are reported as planned in the Methods (Results and Tables 4 &amp; 5).  Employment outcomes are reported only in the Comment section (not Results).</p>,Unclear risk,"<p>Although physicians were recruited to the trial prior to knowing about their intervention status, there was no information to confirm that subsequent recruitment of the patients was affected by physicians' knowledge of the intervention.</p>",Low risk,"<p>Annotated text (not visible in Covidence) reports that clinic clusters were grouped into matched blocks based on patient demographics, clinician speciality and distance to mental health providers. Table 2 shows baseline characteristics of patients, which are similar between intervention and control groups.</p>",Low risk,<p>Allocation to Intervention or Control was by cluster (clinic) and it is unlikely that Control group clinics received the intervention.</p>,Low risk,<p>Annotated text (not visible in Covidence) shows that the authors considered clustering effects but decided to report unadjusted results as intraclass correlations are close to zero.</p>,High risk,<p>Due to blinding</p>
Welschen 2004,Low risk,<p>Tossed coin used to ensure random allocation</p>,Low risk,<p>Allocation likely done at one time</p>,Low risk,<p>Physicians (aware of allocation) recorded in patient files and blinded researchers abstracted data from files. Unlikely to be problematic</p>,Low risk,<p>No groups lost to follow-up. Similar numbers of GPs lost to follow-up in either arm &amp; authors provided explanation for this.</p>,Unclear risk,<p>Outcome (antibiotic prescribing rate for RTIs) reported as specified in Methods. Protocol not available</p>,Unclear risk,"<p>It was unclear exactly the timing of the recruitment, and it may have occurred following the selection of the clusters.</p>",Low risk,"<p>At baseline, mean antibiotic prescription rates for registered encounters for respiratory tract symptoms did not differ significantly between the two groups (27% v 29%).</p>",Low risk,<p>Allocation to Intervention or Control was by cluster (peer review group) and it is unlikely that there was contamination between the two arms.</p>,Low risk,<p>The authors did take into account the intra-class coefficients.</p>,Low risk,<p>Low risk across most domains</p>
Whidden 2018,Unclear risk,"<p>Although stratified randomisation is mentioned, there was no description of the method of random sequence generation.</p>",Low risk,"<p>No details, but based on the study flow diagram and study timeline, it appears likely that all clusters were allocated at the same time</p>",Low risk,"<p>Although supervisors responsible for collecting data forms were not blinded, the data clerks who entered the data into databases were blinded. Bias appears unlikely.</p>",Low risk,<p>Only one CHW lost due to retirement. Data are otherwise complete.</p>,Low risk,<p>Outcomes match trial registration outcomes.</p>,Low risk,<p>No evidence of recruitment after allocation</p>,Low risk,<p>No apparent baseline imbalances</p>,High risk,<p>Potential source of bias</p>,Low risk,<p>Clustering taken into account in analyses</p>,High risk,<p>Potential risk of contamination - high</p>
Williams 2016,Unclear risk,<p>Randomisation method not described</p>,Low risk,"<p>No details, but based on the study flow diagram, it appears likely that all clusters were allocated at the same time</p>",Low risk,"<p>It is unclear whether assessors were blinded, but they were remotely collecting chart data, so even if not, it appears to present low risk.</p>",Unclear risk,<p>One intervention site missing from post-I data collection; unclear why</p>,Unclear risk,<p>There is no protocol available; not possible to assess</p>,Low risk,<p>Appears to be all enroled at the same time; no post-enrolment of sites</p>,Low risk,<p>Some baseline imbalances but analyses adjusted for baseline parameters</p>,Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",Low risk,<p>Clustering taken into account in analyses</p>,Low risk,<p>Low risk across most domains</p>
Willis 2020a,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Central allocation and likely at the same time (per flow chart)</p>,Low risk,<p>Blinded outcome assessment</p>,Low risk,"<p>Attrition of practices balanced, and all practices analysed per ITT</p>",Low risk,<p>Outcomes consistent with protocol (Willis 2016)</p>,Low risk,<p>All clinics recruited before randomisation.</p>,Low risk,<p>Well-balanced for characteristics of practices and patients</p>,Low risk,<p>Allocation was by practice; unlikely contamination between practitioners at different practices</p>,Low risk,<p>Analysis took clustering into account.</p>,Low risk,<p>Overall low risk of bias</p>
Willis 2020b,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Central allocation and likely at the same time (per flow chart)</p>,Low risk,<p>Blinded outcome assessment</p>,Low risk,"<p>Attrition of practices balanced, and all practices analysed per ITT</p>",Low risk,<p>Outcomes consistent with protocol (Willis 2016)</p>,Low risk,<p>All clinics recruited before randomisation.</p>,Low risk,<p>Well-balanced for characteristics of practices and patients</p>,Low risk,<p>Allocation was by practice; unlikely contamination between practitioners at different practices</p>,Low risk,<p>Analysis took clustering into account.</p>,Low risk,<p>Overall low risk of bias</p>
